secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
T70730A,T70730,332710,2132198,95.13210418110513,1,1.4783543773287513,5G,5G,5G,5G,5G,5G
T70730B,T70730,332710,2132198,72.67345019426662,1,1.1293465453654488,0,4G,4G,4G,0,0
T70730C,T70730,332710,2132198,21.35000109134466,0,0.33177934873884474,0,4G,4G,4G,0,0
T78259A,T78259,334998,2134973,54.27726326172116,0,0.2730656701802141,5G,5G,5G,5G,5G,5G
T78259B,T78259,334998,2134973,55.009451753156796,0,0.27674926675633543,4G,4G,4G,4G,4G,0
T78259C,T78259,334998,2134973,77.63382014658121,0,0.3905711130783378,4G,4G,4G,4G,4G,0
T70745A,T70745,333740,2138512,77.1824311391532,1,1.19941617931862,5G,5G,5G,5G,5G,5G
T70745B,T70745,333740,2138512,83.13957806672855,1,1.2919903351472968,0,4G,4G,4G,0,0
T70745C,T70745,333740,2138512,13.903655733319917,0,0.2160630261588177,0,4G,4G,4G,0,0
T70747A,T70747,330348,2141263,23.911413491052134,0,0.557375605852031,5G,5G,5G,5G,5G,5G
T70747B,T70747,330348,2141263,29.588534223058154,0,0.6897094224489081,0,4G,4G,0,0,0
T70747C,T70747,330348,2141263,81.95861456980853,1,1.910457216079453,0,4G,4G,0,0,0
T78264A,T78264,325260,2135700,10.49678008568263,0,0.2446801884774506,5G,5G,5G,5G,5G,5G
T78264B,T78264,325260,2135700,13.785886030538594,0,0.32134932472117933,0,5G,4G,0,0,0
T78264C,T78264,325260,2135700,26.037108194048592,0,0.6069255989288717,0,5G,4G,0,0,0
T78270A,T78270,329209,2135671,47.73216547186912,0,0.22402105163499847,5G,5G,5G,5G,5G,5G
T78270B,T78270,329209,2135671,35.63650562939103,0,0.16725257253198964,4G,4G,4G,4G,4G,0
T78270C,T78270,329209,2135671,68.6699039780278,0,0.32228799914595113,4G,4G,4G,4G,4G,0
T70738A,T70738,328550,2134560,79.53692395299015,0,0.3732901110104198,5G,5G,5G,5G,5G,5G
T70738B,T70738,328550,2134560,32.94395923660647,0,0.15461566263015192,4G,4G,4G,4G,4G,0
T70738C,T70738,328550,2134560,73.11779794298116,0,0.3431632700191541,4G,4G,4G,4G,4G,0
T36870A,T36870,339649,2128802,43.4506955927498,1,1.012836727103725,5G,5G,5G,5G,5G,5G
T36870B,T36870,339649,2128802,12.504076219405906,0,0.29147030814465985,0,5G,4G,0,0,0
T78256A,T78256,327930,2135899,48.53624252218184,0,0.25329424132231415,5G,5G,5G,5G,5G,5G
T78256B,T78256,327930,2135899,91.51470734780074,0,0.47758431973593957,4G,4G,4G,4G,0,0
T78256C,T78256,327930,2135899,67.62400643659089,0,0.35290682828823133,4G,4G,4G,4G,0,0
T78274A,T78274,330815,2134120,165.22335132336096,1,2.567573447138477,5G,5G,5G,5G,5G,5G
T78274B,T78274,330815,2134120,30.84540794454127,0,0.4793381187962902,0,4G,4G,4G,0,0
T78274C,T78274,330815,2134120,57.75502487212278,1,0.8975139840267722,0,4G,4G,4G,0,0
T77125A,T77125,336170,2124950,56.53548650818571,0,0.26533761913073506,5G,5G,5G,5G,5G,5G
T77125B,T77125,336170,2124950,47.096560845486195,0,0.2210379727107814,4G,4G,4G,4G,4G,0
T77125C,T77125,336170,2124950,156.95553556746015,0,0.7366383609492662,4G,4G,4G,4G,4G,0
T78280A,T78280,326663,2134352,11.775411171316867,0,0.2744851088885051,5G,5G,5G,5G,5G,5G
T78280B,T78280,326663,2134352,35.87569065342208,1,0.8362631853944542,0,5G,4G,0,0,0
T78280C,T78280,326663,2134352,36.00030998386343,1,0.8391680648919215,0,5G,4G,0,0,0
T78262A,T78262,330700,2135150,114.70141639089763,1,1.336846344882257,5G,5G,5G,5G,5G,5G
T78262B,T78262,330700,2135150,68.44032292967906,0,0.7976727614181708,0,4G,4G,4G,4G,0
T78262C,T78262,330700,2135150,77.43739542862846,1,0.9025337462544111,0,4G,4G,4G,4G,0
T76995A,T76995,338993,2130434,15.83951500671937,0,0.36921946402609257,5G,5G,5G,5G,5G,5G
T76995B,T76995,338993,2130434,17.1237490978837,0,0.39915499062665966,0,5G,4G,0,0,0
T76995C,T76995,338993,2130434,30.54121567353172,0,0.7119164492664737,0,5G,4G,0,0,0
T70737A,T70737,331250,2136350,53.873558952363595,0,0.25284441241077393,5G,5G,5G,5G,5G,5G
T70737B,T70737,331250,2136350,55.38561363431218,0,0.25994092849444866,4G,4G,4G,4G,4G,0
T70737C,T70737,331250,2136350,35.00727274729626,0,0.16429939807244692,4G,4G,4G,4G,4G,0
T70724A,T70724,330420,2136140,67.57473384992255,0,0.787584310605158,5G,5G,5G,5G,5G,5G
T70724B,T70724,330420,2136140,47.46040556715998,0,0.5531515800368296,0,5G,4G,4G,4G,0
T70724C,T70724,330420,2136140,69.11633072630039,1,0.8055516401666712,0,5G,4G,4G,4G,0
T70721A,T70721,334257,2132312,4.445676857870755,0,0.3108864935573954,0,4G,0,0,0,0
T70721B,T70721,334257,2132312,7.432885337288571,0,0.5197821914187811,0,4G,0,0,0,0
T70721C,T70721,334257,2132312,1.7923809232356165,0,0.12534132330318995,0,4G,0,0,0,0
T78269A,T78269,332350,2134075,118.81127729737906,0,0.5576161697910502,5G,5G,5G,5G,5G,5G
T78269B,T78269,332350,2134075,95.68795418996558,0,0.44909163274963904,4G,4G,4G,4G,4G,0
T78269C,T78269,332350,2134075,47.470862397032136,0,0.2227946796688043,4G,4G,4G,4G,4G,0
T78271A,T78271,331270,2134765,121.59463003615981,1,1.4171868302582729,5G,5G,5G,5G,5G,5G
T78271B,T78271,331270,2134765,104.55690886612352,1,1.218611991446661,0,4G,4G,4G,4G,0
T78271C,T78271,331270,2134765,231.38798885193563,1,2.696829706899017,0,4G,4G,4G,4G,0
T70744A,T70744,329300,2132650,200.50502650881,1,0.9410288943014503,5G,5G,5G,5G,5G,5G
T70744B,T70744,329300,2132650,149.92288345106644,0,0.7036320620034094,4G,4G,4G,4G,4G,0
T70744C,T70744,329300,2132650,55.517189392494025,0,0.26055845211664724,4G,4G,4G,4G,4G,0
T70735A,T70735,326201,2135375,40.95590123609467,0,0.19221805620732468,5G,5G,5G,5G,5G,5G
T70735B,T70735,326201,2135375,42.90680285205982,0,0.20137420965907835,4G,4G,4G,4G,4G,0
T70735C,T70735,326201,2135375,61.662974638270754,0,0.28940242473492633,4G,4G,4G,4G,4G,0
T78258A,T78258,330075,2133875,50.54616447415755,0,0.7854881814165898,5G,5G,5G,5G,5G,5G
T78258B,T78258,330075,2133875,199.77232761665323,1,3.104465075627867,0,4G,4G,4G,0,0
T78258C,T78258,330075,2133875,112.58409683385622,1,1.74955861435674,0,4G,4G,4G,0,0
T70736A,T70736,330516,2134754,34.21262023206586,1,2.3924909253192905,5G,5G,5G,5G,5G,5G
