secteur,site,debit_prevu,sature,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
T70730A,T70730,64.18935747386028,0,0,4G,4G,4G,0,0
T70730B,T70730,47.501676746638765,0,0,4G,4G,4G,0,0
T70730C,T70730,17.046073592647836,0,0,4G,4G,4G,0,0
T78259A,T78259,35.624291969291,0,4G,0,4G,4G,4G,5G
T78259B,T78259,35.406660565178896,0,4G,0,4G,4G,4G,5G
T78259C,T78259,42.92009849150992,0,4G,0,4G,4G,4G,5G
T70745A,T70745,45.87701622485666,0,0,4G,4G,4G,0,0
T70745B,T70745,50.89196434795067,0,0,4G,4G,4G,0,0
T70745C,T70745,10.995609410926596,0,0,4G,4G,4G,0,0
T70747A,T70747,13.70401137694613,0,0,4G,4G,0,0,0
T70747B,T70747,15.925877264651085,0,0,4G,4G,0,0,0
T70747C,T70747,56.998181824963666,1,0,4G,4G,0,0,0
T78264A,T78264,6.514264103726888,0,0,4G,4G,0,0,0
T78264B,T78264,8.269719856185127,0,0,4G,4G,0,0,0
T78264C,T78264,16.50256123150602,0,0,4G,4G,0,0,0
T78270A,T78270,29.72994511505868,0,4G,4G,4G,4G,4G,5G
T78270B,T78270,21.57095299553248,0,4G,4G,4G,4G,4G,5G
T78270C,T78270,41.07261347639927,0,4G,4G,4G,4G,4G,5G
T70738A,T70738,51.301181987883396,0,4G,4G,4G,4G,4G,5G
T70738B,T70738,19.906684012147167,0,4G,4G,4G,4G,4G,5G
T70738C,T70738,45.77565027358712,0,4G,4G,4G,4G,4G,5G
T36870A,T36870,24.605796036904657,0,0,4G,4G,0,0,0
T36870B,T36870,7.387869075270774,0,0,4G,4G,0,0,0
T78256A,T78256,33.77243845840165,0,4G,4G,4G,4G,0,5G
T78256B,T78256,61.91285665529526,0,4G,4G,4G,4G,0,5G
T78256C,T78256,44.63450378457587,0,4G,4G,4G,4G,0,5G
T78274A,T78274,97.83119362942068,1,0,4G,4G,4G,0,0
T78274B,T78274,18.419956793556977,0,0,4G,4G,4G,0,0
T78274C,T78274,33.73656427328027,0,0,4G,4G,4G,0,0
T77125A,T77125,32.7566082519846,0,4G,4G,4G,4G,4G,5G
T77125B,T77125,27.927371197215404,0,4G,4G,4G,4G,4G,5G
T77125C,T77125,98.24802798534628,0,4G,4G,4G,4G,4G,5G
T78280A,T78280,6.636487104507509,0,0,4G,4G,0,0,0
T78280B,T78280,23.025404601317497,0,0,4G,4G,0,0,0
T78280C,T78280,22.211781229550397,0,0,4G,4G,0,0,0
T78262A,T78262,70.33247554534361,0,0,4G,4G,4G,4G,0
T78262B,T78262,43.171879878929786,0,0,4G,4G,4G,4G,0
T78262C,T78262,51.64631286114004,0,0,4G,4G,4G,4G,0
T76995A,T76995,14.66432965578534,0,0,4G,4G,0,0,0
T76995B,T76995,10.620277394283141,0,0,4G,4G,0,0,0
T76995C,T76995,20.359463165036107,0,0,4G,4G,0,0,0
T70737A,T70737,33.210203460423664,0,4G,4G,4G,4G,4G,5G
T70737B,T70737,34.195181102034994,0,4G,4G,4G,4G,4G,5G
T70737C,T70737,22.792791283212786,0,4G,4G,4G,4G,4G,5G
T70724A,T70724,43.75936780378214,0,0,4G,4G,4G,4G,0
T70724B,T70724,31.521487789267532,0,0,4G,4G,4G,4G,0
T70724C,T70724,41.636011128148155,0,0,4G,4G,4G,4G,0
