,Unnamed: 0,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,0,T70730A,T70730,332710,2132198,71.91974936170722,1,1.117634022714953,0,4G,4G,4G,0,5G
1,1,T70730B,T70730,332710,2132198,53.790312823561536,0,0.8359022971804435,0,4G,4G,4G,0,5G
2,2,T70730C,T70730,332710,2132198,18.12131899786641,0,0.2816055788324229,0,4G,4G,4G,0,5G
3,3,T78259A,T78259,334998,2134973,40.28434297664008,0,0.2026681238448462,4G,0,4G,4G,4G,5G
4,4,T78259B,T78259,334998,2134973,40.30400401734312,0,0.2027670373665197,4G,0,4G,4G,4G,5G
5,5,T78259C,T78259,334998,2134973,51.59258884339289,0,0.2595592335030079,4G,0,4G,4G,4G,5G
6,6,T70745A,T70745,333740,2138512,53.698013106251764,0,0.8344679581391107,0,4G,4G,4G,0,0
7,7,T70745B,T70745,333740,2138512,58.94834970548245,0,0.9160582704814678,0,4G,4G,4G,0,0
8,8,T70745C,T70745,333740,2138512,11.722123379217877,0,0.1821619794750253,0,4G,4G,4G,0,0
9,9,T70747A,T70747,330348,2141263,16.25411525897809,0,0.3788838055705848,0,4G,4G,0,0,5G
10,10,T70747B,T70747,330348,2141263,19.33920360949611,0,0.4507972869346413,0,4G,4G,0,0,5G
11,11,T70747C,T70747,330348,2141263,63.23401888989753,1,1.4739864543099657,0,4G,4G,0,0,5G
12,12,T78264A,T78264,325260,2135700,7.5092116283085755,0,0.175039898095771,0,4G,4G,0,0,0
13,13,T78264B,T78264,325260,2135700,9.647817497279593,0,0.2248908507524381,0,4G,4G,0,0,0
14,14,T78264C,T78264,325260,2135700,18.88456646171002,0,0.44019968442214497,0,4G,4G,0,0,0
15,15,T78270A,T78270,329209,2135671,34.22741974218792,0,0.1606393192011448,4G,4G,4G,4G,4G,5G
16,16,T78270B,T78270,329209,2135671,25.084934317475238,0,0.1177309537592117,4G,4G,4G,4G,4G,5G
17,17,T78270C,T78270,329209,2135671,47.967213772836246,0,0.22512420224731894,4G,4G,4G,4G,4G,5G
18,18,T70738A,T70738,328550,2134560,58.35528590113731,0,0.27387847139971516,4G,4G,4G,4G,4G,5G
19,19,T70738B,T70738,328550,2134560,23.163771936122288,0,0.10871437525753175,4G,4G,4G,4G,4G,5G
20,20,T70738C,T70738,328550,2134560,52.60650852090322,0,0.24689777313044173,4G,4G,4G,4G,4G,5G
21,21,T36870A,T36870,339649,2128802,29.31379626817329,0,0.6833052743163938,0,4G,4G,0,0,0
22,22,T36870B,T36870,339649,2128802,8.666045398069762,0,0.2020057202347264,0,4G,4G,0,0,0
23,23,T78256A,T78256,327930,2135899,37.46086315606063,0,0.19549558060776867,4G,4G,4G,4G,0,5G
24,24,T78256B,T78256,327930,2135899,69.30825398778293,0,0.3616963468728887,4G,4G,4G,4G,0,5G
25,25,T78256C,T78256,327930,2135899,50.3779455833339,0,0.26290546698326844,4G,4G,4G,4G,0,5G
26,26,T78274A,T78274,330815,2134120,114.66770119840645,1,1.781937858561095,0,4G,4G,4G,0,5G
27,27,T78274B,T78274,330815,2134120,21.524193391852165,0,0.33448629979568245,0,4G,4G,4G,0,5G
28,28,T78274C,T78274,330815,2134120,39.737069487912386,0,0.6175146773568359,0,4G,4G,4G,0,5G
29,29,T77125A,T77125,336170,2124950,38.69725887725045,0,0.1816175851938351,4G,4G,4G,4G,4G,5G
30,30,T77125B,T77125,336170,2124950,32.71638846047266,0,0.15354760623491182,4G,4G,4G,4G,4G,5G
31,31,T77125C,T77125,336170,2124950,112.91485910613449,0,0.5299425498950321,4G,4G,4G,4G,4G,5G
32,32,T78280A,T78280,326663,2134352,7.920338770753515,0,0.1846232813695458,0,4G,4G,0,0,0
33,33,T78280B,T78280,326663,2134352,26.23577722898223,0,0.6115565787641546,0,4G,4G,0,0,0
34,34,T78280C,T78280,326663,2134352,25.6565539847347,0,0.5980548714390373,0,4G,4G,0,0,0
35,35,T78262A,T78262,330700,2135150,81.41711853550598,0,0.9489174654487876,0,4G,4G,4G,4G,0
36,36,T78262B,T78262,330700,2135150,49.484666814948596,0,0.5767443684725944,0,4G,4G,4G,4G,0
37,37,T78262C,T78262,330700,2135150,58.089670244530375,0,0.6770357837357853,0,4G,4G,4G,4G,0
38,38,T76995A,T76995,338993,2130434,14.957924900885217,0,0.34866957810921256,0,4G,4G,0,0,0
39,39,T76995B,T76995,338993,2130434,12.245032474238107,0,0.2854319924064827,0,4G,4G,0,0,0
40,40,T76995C,T76995,338993,2130434,22.903159034715024,0,0.5338731709723782,0,4G,4G,0,0,0
41,41,T70737A,T70737,331250,2136350,38.3725065094025,0,0.18009342708688458,4G,4G,4G,4G,4G,5G
42,42,T70737B,T70737,331250,2136350,39.48916321995503,0,0.18533422452693965,4G,4G,4G,4G,4G,5G
43,43,T70737C,T70737,331250,2136350,25.844321560002975,0,0.12129498080444444,4G,4G,4G,4G,4G,5G
44,44,T70724A,T70724,330420,2136140,49.70913413290003,0,0.5793605376794876,0,4G,4G,4G,4G,0
45,45,T70724B,T70724,330420,2136140,35.50348983507913,0,0.4137935878214351,0,4G,4G,4G,4G,0
46,46,T70724C,T70724,330420,2136140,48.50138871427106,0,0.56528425074908,0,4G,4G,4G,4G,0
47,47,T70721A,T70721,334257,2132312,3.3925277910148344,0,0.23723970566537303,0,4G,0,0,0,0
48,48,T70721B,T70721,334257,2132312,7.128106913335479,0,0.49846901491856493,0,4G,0,0,0,0
49,49,T70721C,T70721,334257,2132312,1.3243872268325794,0,0.09261449138689366,0,4G,0,0,0,0
50,50,T78269A,T78269,332350,2134075,83.07834200773576,0,0.38991102458223004,4G,4G,4G,4G,4G,5G
51,51,T78269B,T78269,332350,2134075,68.25283203994306,0,0.320330558220036,4G,4G,4G,4G,4G,5G
52,52,T78269C,T78269,332350,2134075,32.892195981714124,0,0.15437272249361303,4G,4G,4G,4G,4G,5G
53,53,T78271A,T78271,331270,2134765,89.77658144226693,1,1.0463471030567242,0,4G,4G,4G,4G,5G
