secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
T70730A,T70730,332710,2132198,64.18935747386028,1,0.9975036126474015,0,4G,4G,4G,0,0
T70730B,T70730,332710,2132198,47.501676746638765,0,0.7381767948195613,0,4G,4G,4G,0,0
T70730C,T70730,332710,2132198,17.046073592647836,0,0.2648962485259959,0,4G,4G,4G,0,0
T78259A,T78259,334998,2134973,35.624291969291,0,0.17922368551235598,4G,0,4G,4G,4G,5G
T78259B,T78259,334998,2134973,35.406660565178896,0,0.1781287949146194,4G,0,4G,4G,4G,5G
T78259C,T78259,334998,2134973,42.92009849150992,0,0.21592845244005593,4G,0,4G,4G,4G,5G
T70745A,T70745,333740,2138512,45.87701622485666,0,0.7129295450638177,0,4G,4G,4G,0,0
T70745B,T70745,333740,2138512,50.89196434795067,0,0.7908619168290703,0,4G,4G,4G,0,0
T70745C,T70745,333740,2138512,10.995609410926596,0,0.17087194111774043,0,4G,4G,4G,0,0
T70747A,T70747,330348,2141263,13.70401137694613,0,0.31944082463743895,0,4G,4G,0,0,0
T70747B,T70747,330348,2141263,15.925877264651085,0,0.37123257027158707,0,4G,4G,0,0,0
T70747C,T70747,330348,2141263,56.998181824963666,1,1.3286289469688501,0,4G,4G,0,0,0
T78264A,T78264,325260,2135700,6.514264103726888,0,0.15184764810552187,0,4G,4G,0,0,0
T78264B,T78264,325260,2135700,8.269719856185127,0,0.19276736261503793,0,4G,4G,0,0,0
T78264C,T78264,325260,2135700,16.50256123150602,0,0.38467508698149233,0,4G,4G,0,0,0
T78270A,T78270,329209,2135671,29.72994511505868,0,0.13953135173914058,4G,4G,4G,4G,4G,5G
T78270B,T78270,329209,2135671,21.57095299553248,0,0.10123880882119717,4G,4G,4G,4G,4G,5G
T78270C,T78270,329209,2135671,41.07261347639927,0,0.19276582098089487,4G,4G,4G,4G,4G,5G
T70738A,T70738,328550,2134560,51.301181987883396,0,0.24077149287972685,4G,4G,4G,4G,4G,5G
T70738B,T70738,328550,2134560,19.906684012147167,0,0.09342790637887627,4G,4G,4G,4G,4G,5G
T70738C,T70738,328550,2134560,45.77565027358712,0,0.21483855199505852,4G,4G,4G,4G,4G,5G
