"Site","Secteur","Nb Secteurs","X (lambert 2 étendu)","Y (Lambert 2  étendu)","Code INSEE","Unité Urbaine","700 MHz","800 MHz","1800 MHz","2100 MHz","2600 MHz","3500 MHz","Trafic Ref fin 2022 Mbps","","","","","",""
"T70730","T70730A","3","332710","2132198","17028","LA ROCHELLE","non","oui","oui","oui","non","non","44.0","","","","","",""
"T70730","T70730B","3","332710","2132198","17028","LA ROCHELLE","non","oui","oui","oui","non","non","42.1","","","","","",""
"T70730","T70730C","3","332710","2132198","17028","LA ROCHELLE","non","oui","oui","oui","non","non","20.4","","","","","",""
"T78259","T78259A","3","334998","2134973","17274","LA ROCHELLE","oui","non","oui","oui","oui","oui","40.5","","","","","",""
"T78259","T78259B","3","334998","2134973","17274","LA ROCHELLE","oui","non","oui","oui","oui","oui","45.2","","","","","",""
"T78259","T78259C","3","334998","2134973","17274","LA ROCHELLE","oui","non","oui","oui","oui","oui","75.1","","","","","",""
"T70745","T70745A","3","333740","2138512","17291","LA ROCHELLE","non","oui","oui","oui","non","non","50.1","","","","","",""
"T70745","T70745B","3","333740","2138512","17291","LA ROCHELLE","non","oui","oui","oui","non","non","42.9","","","","","",""
"T70745","T70745C","3","333740","2138512","17291","LA ROCHELLE","non","oui","oui","oui","non","non","10.2","","","","","",""
"T70747","T70747A","3","330348","2141263","17264","LA ROCHELLE","non","oui","oui","non","non","non","12.3","","","","","",""
"T70747","T70747B","3","330348","2141263","17264","LA ROCHELLE","non","oui","oui","non","non","non","14.6","","","","","",""
"T70747","T70747C","3","330348","2141263","17264","LA ROCHELLE","non","oui","oui","non","non","non","6.0","","","","","",""
"T78264","T78264A","3","325260","2135700","17300","LA ROCHELLE","non","oui","oui","non","non","non","6.1","","","","","",""
"T78264","T78264B","3","325260","2135700","17300","LA ROCHELLE","non","oui","oui","non","non","non","10.0","","","","","",""
"T78264","T78264C","3","325260","2135700","17300","LA ROCHELLE","non","oui","oui","non","non","non","8.2","","","","","",""
"T78270","T78270A","3","329209","2135671","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","36.9","","","","","",""
"T78270","T78270B","3","329209","2135671","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","32.4","","","","","",""
"T78270","T78270C","3","329209","2135671","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","35.3","","","","","",""
"T70738","T70738A","3","328550","2134560","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","45.8","","","","","",""
"T70738","T70738B","3","328550","2134560","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","24.2","","","","","",""
"T70738","T70738C","3","328550","2134560","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","54.7","","","","","",""
"T36870","T36870A","2","339649","2128802","17420","LA ROCHELLE","non","oui","oui","non","non","non","15.4","","","","","",""
"T36870","T36870B","2","339649","2128802","17420","LA ROCHELLE","non","oui","oui","non","non","non","5.6","","","","","",""
"T78256","T78256A","3","327930","2135899","17300","LA ROCHELLE","oui","oui","oui","oui","non","oui","43.4","","","","","",""
"T78256","T78256B","3","327930","2135899","17300","LA ROCHELLE","oui","oui","oui","oui","non","oui","82.5","","","","","",""
"T78256","T78256C","3","327930","2135899","17300","LA ROCHELLE","oui","oui","oui","oui","non","oui","53.7","","","","","",""
"T78274","T78274A","3","330815","2134120","17300","LA ROCHELLE","non","oui","oui","oui","non","non","87.6","","","","","",""
"T78274","T78274B","3","330815","2134120","17300","LA ROCHELLE","non","oui","oui","oui","non","non","26.3","","","","","",""
"T78274","T78274C","3","330815","2134120","17300","LA ROCHELLE","non","oui","oui","oui","non","non","41.7","","","","","",""
"T77125","T77125A","3","336170","2124950","17094","LA ROCHELLE","oui","oui","oui","oui","oui","oui","27.9","","","","","",""
"T77125","T77125B","3","336170","2124950","17094","LA ROCHELLE","oui","oui","oui","oui","oui","oui","18.0","","","","","",""
"T77125","T77125C","3","336170","2124950","17094","LA ROCHELLE","oui","oui","oui","oui","oui","oui","63.8","","","","","",""
"T78280","T78280A","3","326663","2134352","17300","LA ROCHELLE","non","oui","oui","non","non","non","10.5","","","","","",""
"T78280","T78280B","3","326663","2134352","17300","LA ROCHELLE","non","oui","oui","non","non","non","16.0","","","","","",""
"T78280","T78280C","3","326663","2134352","17300","LA ROCHELLE","non","oui","oui","non","non","non","27.6","","","","","",""
"T78262","T78262A","3","330700","2135150","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","73.2","","","","","",""
"T78262","T78262B","3","330700","2135150","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","43.5","","","","","",""
"T78262","T78262C","3","330700","2135150","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","55.8","","","","","",""
"T76995","T76995A","3","338993","2130434","17420","LA ROCHELLE","non","oui","oui","non","non","non","11.2","","","","","",""
"T76995","T76995B","3","338993","2130434","17420","LA ROCHELLE","non","oui","oui","non","non","non","6.7","","","","","",""
"T76995","T76995C","3","338993","2130434","17420","LA ROCHELLE","non","oui","oui","non","non","non","14.5","","","","","",""
"T70737","T70737A","3","331250","2136350","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","35.7","","","","","",""
"T70737","T70737B","3","331250","2136350","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","40.8","","","","","",""
"T70737","T70737C","3","331250","2136350","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","20.3","","","","","",""
"T70724","T70724A","3","330420","2136140","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","38.9","","","","","",""
"T70724","T70724B","3","330420","2136140","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","25.6","","","","","",""
"T70724","T70724C","3","330420","2136140","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","30.8","","","","","",""
"T70721","T70721A","3","334257","2132312","17028","LA ROCHELLE","non","oui","non","non","non","non","3.8","","","","","",""
"T70721","T70721B","3","334257","2132312","17028","LA ROCHELLE","non","oui","non","non","non","non","3.6","","","","","",""
"T70721","T70721C","3","334257","2132312","17028","LA ROCHELLE","non","oui","non","non","non","non","1.6","","","","","",""
"T78269","T78269A","3","332350","2134075","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","85.5","","","","","",""
"T78269","T78269B","3","332350","2134075","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","65.3","","","","","",""
"T78269","T78269C","3","332350","2134075","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","36.9","","","","","",""
"T78271","T78271A","3","331270","2134765","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","73.4","","","","","",""
"T78271","T78271B","3","331270","2134765","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","72.1","","","","","",""
"T78271","T78271C","3","331270","2134765","17300","LA ROCHELLE","non","oui","oui","oui","oui","non","117.4","","","","","",""
"T70744","T70744A","3","329300","2132650","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","73.8","","","","","",""
"T70744","T70744B","3","329300","2132650","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","98.0","","","","","",""
"T70744","T70744C","3","329300","2132650","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","22.9","","","","","",""
"T70735","T70735A","3","326201","2135375","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","26.9","","","","","",""
"T70735","T70735B","3","326201","2135375","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","21.0","","","","","",""
"T70735","T70735C","3","326201","2135375","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","23.7","","","","","",""
"T78258","T78258A","3","330075","2133875","17300","LA ROCHELLE","non","oui","oui","oui","non","non","39.4","","","","","",""
"T78258","T78258B","3","330075","2133875","17300","LA ROCHELLE","non","oui","oui","oui","non","non","93.3","","","","","",""
"T78258","T78258C","3","330075","2133875","17300","LA ROCHELLE","non","oui","oui","oui","non","non","61.2","","","","","",""
"T70736","T70736A","3","330516","2134754","17300","LA ROCHELLE","non","oui","non","non","non","non","18.1","","","","","",""
"T70736","T70736B","3","330516","2134754","17300","LA ROCHELLE","non","oui","non","non","non","non","37.8","","","","","",""
"T70736","T70736C","3","330516","2134754","17300","LA ROCHELLE","non","oui","non","non","non","non","53.0","","","","","",""
"T70722","T70722A","3","330700","2138920","17200","LA ROCHELLE","oui","oui","oui","oui","oui","oui","11.3","","","","","",""
"T70722","T70722B","3","330700","2138920","17200","LA ROCHELLE","oui","oui","oui","oui","oui","oui","46.5","","","","","",""
"T70722","T70722C","3","330700","2138920","17200","LA ROCHELLE","oui","oui","oui","oui","oui","oui","59.2","","","","","",""
"T70725","T70725A","3","333055","2136495","17291","LA ROCHELLE","non","oui","oui","oui","oui","non","39.3","","","","","",""
"T70725","T70725B","3","333055","2136495","17291","LA ROCHELLE","non","oui","oui","oui","oui","non","48.3","","","","","",""
"T70725","T70725C","3","333055","2136495","17291","LA ROCHELLE","non","oui","oui","oui","oui","non","35.1","","","","","",""
"T78279","T78279A","3","326299","2136325","17300","LA ROCHELLE","non","oui","non","non","non","non","5.0","","","","","",""
"T78279","T78279B","3","326299","2136325","17300","LA ROCHELLE","non","oui","non","non","non","non","2.5","","","","","",""
"T78279","T78279C","3","326299","2136325","17300","LA ROCHELLE","non","oui","non","non","non","non","3.6","","","","","",""
"T70731","T70731A","3","334370","2128940","17010","LA ROCHELLE","non","oui","oui","oui","oui","non","9.7","","","","","",""
"T70731","T70731B","3","334370","2128940","17010","LA ROCHELLE","non","oui","oui","oui","oui","non","42.2","","","","","",""
"T70731","T70731C","3","334370","2128940","17010","LA ROCHELLE","non","oui","oui","oui","oui","non","41.5","","","","","",""
"T70743","T70743A","3","336807","2138015","17142","LA ROCHELLE","non","oui","oui","oui","oui","non","6.5","","","","","",""
"T70743","T70743B","3","336807","2138015","17142","LA ROCHELLE","non","oui","oui","oui","oui","non","23.5","","","","","",""
"T70743","T70743C","3","336807","2138015","17142","LA ROCHELLE","non","oui","oui","oui","oui","non","14.3","","","","","",""
"T78273","T78273A","3","330839","2133352","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","21.8","","","","","",""
"T78273","T78273B","3","330839","2133352","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","60.3","","","","","",""
"T78273","T78273C","3","330839","2133352","17300","LA ROCHELLE","oui","oui","oui","oui","oui","oui","106.3","","","","","",""
